Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría
ARGENTINA;POSPAGO;BRONCE;117;TV FAMILIA;SD;Religion
ARGENTINA;POSPAGO;ORO;117;TV FAMILIA;SD;Religion
ARGENTINA;POSPAGO;PLATA;117;TV FAMILIA;SD;Religion
ARGENTINA;POSPAGO;BRONCE;127;DSHOW;SD;Musical
ARGENTINA;POSPAGO;ORO;127;DSHOW;SD;Musical
ARGENTINA;POSPAGO;PLATA;127;DSHOW;SD;Musical
ARGENTINA;POSPAGO;BRONCE;130;RCN;SD;Nacional
ARGENTINA;POSPAGO;ORO;130;RCN;SD;Nacional
ARGENTINA;POSPAGO;PLATA;130;RCN;SD;Nacional
ARGENTINA;POSPAGO;BRONCE;132;CARACOL;SD;Nacional
ARGENTINA;POSPAGO;ORO;132;CARACOL;SD;Nacional
ARGENTINA;POSPAGO;PLATA;132;CARACOL;SD;Nacional
ARGENTINA;POSPAGO;BRONCE;133;CITY TV;SD;Nacional
ARGENTINA;POSPAGO;ORO;133;CITY TV;SD;Nacional
ARGENTINA;POSPAGO;PLATA;133;CITY TV;SD;Nacional
ARGENTINA;POSPAGO;BRONCE;134;CARACOL INTERNACIONAL;SD;Nacional
ARGENTINA;POSPAGO;ORO;134;CARACOL INTERNACIONAL;SD;Nacional
ARGENTINA;POSPAGO;PLATA;134;CARACOL INTERNACIONAL;SD;Nacional
ARGENTINA;POSPAGO;BRONCE;135;RCN NUESTRA TELE;SD;Nacional
ARGENTINA;POSPAGO;ORO;135;RCN NUESTRA TELE;SD;Nacional
ARGENTINA;POSPAGO;PLATA;135;RCN NUESTRA TELE;SD;Nacional
ARGENTINA;POSPAGO;BRONCE;136;CANAL UNO;SD;Nacional
ARGENTINA;POSPAGO;ORO;136;CANAL UNO;SD;Nacional
ARGENTINA;POSPAGO;PLATA;136;CANAL UNO;SD;Nacional
ARGENTINA;POSPAGO;BRONCE;137;SEÑAL COLOMBIA;SD;Nacional
ARGENTINA;POSPAGO;ORO;137;SEÑAL COLOMBIA;SD;Nacional
ARGENTINA;POSPAGO;PLATA;137;SEÑAL COLOMBIA;SD;Nacional
ARGENTINA;POSPAGO;BRONCE;138;SEÑAL INSTITUCIONAL;SD;Nacional
ARGENTINA;POSPAGO;ORO;138;SEÑAL INSTITUCIONAL;SD;Nacional
ARGENTINA;POSPAGO;PLATA;138;SEÑAL INSTITUCIONAL;SD;Nacional
ARGENTINA;POSPAGO;BRONCE;139;CANAL CONGRESO;SD;Nacional
ARGENTINA;POSPAGO;ORO;139;CANAL CONGRESO;SD;Nacional
ARGENTINA;POSPAGO;PLATA;139;CANAL CONGRESO;SD;Nacional
ARGENTINA;POSPAGO;BRONCE;140;TELEANTIOQUIA;SD;Nacional
ARGENTINA;POSPAGO;ORO;140;TELEANTIOQUIA;SD;Nacional
ARGENTINA;POSPAGO;PLATA;140;TELEANTIOQUIA;SD;Nacional
ARGENTINA;POSPAGO;BRONCE;141;TELEPACIFICO;SD;Nacional
ARGENTINA;POSPAGO;ORO;141;TELEPACIFICO;SD;Nacional
ARGENTINA;POSPAGO;PLATA;141;TELEPACIFICO;SD;Nacional
ARGENTINA;POSPAGO;BRONCE;142;TELECARIBE;SD;Nacional
ARGENTINA;POSPAGO;ORO;142;TELECARIBE;SD;Nacional
ARGENTINA;POSPAGO;PLATA;142;TELECARIBE;SD;Nacional
ARGENTINA;POSPAGO;BRONCE;143;CANAL CAPITAL;SD;Nacional
ARGENTINA;POSPAGO;ORO;143;CANAL CAPITAL;SD;Nacional
ARGENTINA;POSPAGO;PLATA;143;CANAL CAPITAL;SD;Nacional
ARGENTINA;POSPAGO;BRONCE;144;TELECAFE;SD;Nacional
ARGENTINA;POSPAGO;ORO;144;TELECAFE;SD;Nacional
ARGENTINA;POSPAGO;PLATA;144;TELECAFE;SD;Nacional
ARGENTINA;POSPAGO;BRONCE;145;NTN 24 NOTICIAS;SD;Noticias
ARGENTINA;POSPAGO;ORO;145;NTN 24 NOTICIAS;SD;Noticias
ARGENTINA;POSPAGO;PLATA;145;NTN 24 NOTICIAS;SD;Noticias
ARGENTINA;POSPAGO;BRONCE;146;EL TIEMPO;SD;Noticias
ARGENTINA;POSPAGO;ORO;146;EL TIEMPO;SD;Noticias
ARGENTINA;POSPAGO;PLATA;146;EL TIEMPO;SD;Noticias
ARGENTINA;POSPAGO;BRONCE;147;CABLENOTICIAS;SD;Nacional
ARGENTINA;POSPAGO;ORO;147;CABLENOTICIAS;SD;Nacional
ARGENTINA;POSPAGO;PLATA;147;CABLENOTICIAS;SD;Nacional
ARGENTINA;POSPAGO;BRONCE;148;TRO;SD;Nacional
ARGENTINA;POSPAGO;ORO;148;TRO;SD;Nacional
ARGENTINA;POSPAGO;PLATA;148;TRO;SD;Nacional
ARGENTINA;POSPAGO;BRONCE;149;TRECE;SD;Nacional
ARGENTINA;POSPAGO;ORO;149;TRECE;SD;Nacional
ARGENTINA;POSPAGO;PLATA;149;TRECE;SD;Nacional
ARGENTINA;POSPAGO;BRONCE;150;TELE ISLAS;SD;Nacional
ARGENTINA;POSPAGO;ORO;150;TELE ISLAS;SD;Nacional
ARGENTINA;POSPAGO;PLATA;150;TELE ISLAS;SD;Nacional
ARGENTINA;POSPAGO;BRONCE;151;TELEMEDELLIN;SD;Nacional
ARGENTINA;POSPAGO;ORO;151;TELEMEDELLIN;SD;Nacional
ARGENTINA;POSPAGO;PLATA;151;TELEMEDELLIN;SD;Nacional
ARGENTINA;POSPAGO;BRONCE;152;TV AGRO;SD;Nacional
ARGENTINA;POSPAGO;ORO;152;TV AGRO;SD;Nacional
ARGENTINA;POSPAGO;PLATA;152;TV AGRO;SD;Nacional
ARGENTINA;POSPAGO;BRONCE;202;STAR CHANNEL COL;SD;Series y Peliculas
ARGENTINA;POSPAGO;ORO;202;STAR CHANNEL COL;SD;Series y Peliculas
ARGENTINA;POSPAGO;PLATA;202;STAR CHANNEL COL;SD;Series y Peliculas
ARGENTINA;POSPAGO;BRONCE;206;WARNER CHANNEL;SD;Series y Peliculas
ARGENTINA;POSPAGO;ORO;206;WARNER CHANNEL;SD;Series y Peliculas
ARGENTINA;POSPAGO;PLATA;206;WARNER CHANNEL;SD;Series y Peliculas
ARGENTINA;POSPAGO;BRONCE;207;A&E;SD;Series y Peliculas
ARGENTINA;POSPAGO;ORO;207;A&E;SD;Series y Peliculas
ARGENTINA;POSPAGO;PLATA;207;A&E;SD;Series y Peliculas
ARGENTINA;POSPAGO;BRONCE;208;SONY;SD;Series y Peliculas
ARGENTINA;POSPAGO;ORO;208;SONY;SD;Series y Peliculas
ARGENTINA;POSPAGO;PLATA;208;SONY;SD;Series y Peliculas
ARGENTINA;POSPAGO;BRONCE;209;AXN HD;SD;Series y Peliculas
ARGENTINA;POSPAGO;ORO;209;AXN HD;SD;Series y Peliculas
ARGENTINA;POSPAGO;PLATA;209;AXN HD;SD;Series y Peliculas
ARGENTINA;POSPAGO;ORO;210;AMC;SD;Series y Peliculas
ARGENTINA;POSPAGO;PLATA;210;AMC;SD;Series y Peliculas
ARGENTINA;POSPAGO;ORO;213;TNT SERIES;SD;Series y Peliculas
ARGENTINA;POSPAGO;BRONCE;214;ATRES SERIES;SD;Series y Peliculas
ARGENTINA;POSPAGO;ORO;214;ATRES SERIES;SD;Series y Peliculas
ARGENTINA;POSPAGO;PLATA;214;ATRES SERIES;SD;Series y Peliculas
ARGENTINA;POSPAGO;ORO;215;COMEDY CENTRAL;SD;Hogar y Variedades
ARGENTINA;POSPAGO;PLATA;215;COMEDY CENTRAL;SD;Hogar y Variedades
ARGENTINA;POSPAGO;ORO;216;TNT NOVELAS;SD;Telenovelas
ARGENTINA;POSPAGO;PLATA;216;TNT NOVELAS;SD;Telenovelas
ARGENTINA;POSPAGO;BRONCE;217;FX;SD;Series y Peliculas
ARGENTINA;POSPAGO;ORO;217;FX;SD;Series y Peliculas
ARGENTINA;POSPAGO;PLATA;217;FX;SD;Series y Peliculas
ARGENTINA;POSPAGO;BRONCE;218;UNIVERSAL CHANNEL;SD;Series y Peliculas
ARGENTINA;POSPAGO;ORO;218;UNIVERSAL CHANNEL;SD;Series y Peliculas
